TaxaNo,Genus,Species,Feeding,ClassNo
387,Littoridina,australis,Deposit,18
388,Mactra,marplatensis,suspension,15
389,Tagelus,plebeius,suspension,15
390,Mactra,isabelleana,Deposit,15
391,Mactra,patagonica,suspension,15
392,Haliotis,iris,browser,18
393,Serpulorbis,zealandicus,suspension,18
394,Haustrum,haustorium,Carnivore,18
395,Diloma,nigerrima,unknown,18
396,Melagraphia,aethiops,browser,18
397,Turbo,smaragdus,browser,18
398,Cellana,denticulata,browser,18
399,Argopectra,purpuratus,suspension,15
400,Yolida,johanni,Deposit,15
401,Porites,sp.,suspension,4
402,Turbo,Petholatus,Deposit,18
403,Stombus,pacificus,Deposit,18
404,Stombus,lentiginosus,Deposit,18
476,Pocillopora,damicornis,suspension,4
406,Isognomon,legumen,suspension,15
407,Fragum,unedo,suspension,15
408,Conus,sp.,Carnivore,18
409,Chama,sp.,suspension,15
410,Chama,pacifica,suspension,15
411,Laevichlamys,squamosa,suspension,15
412,Tapes,litteratus,suspension,15
413,Conus,arenatus,Carnivore,18
414,Antigona,reticulata,unknown,15
415,Isognomon,isognomon,suspension,15
416,Beguina,semiorbiculata,suspension,15
417,Barbatia,sp.,suspension,15
418,Drupa,ricinus,Carnivore,18
419,Isognomon,sp.,suspension,15
420,Spondylus,anacanthus,suspension,15
421,Acrosterigma,sp.,unknown,15
422,Cypraea,caputserpentis Linna,unknown,18
423,Conus,distans Hwass,Carnivore,18
424,Tellina,palatum,suspension,15
425,Porites,lobata,suspension,4
426,Anadara,antiquita,suspension,15
427,Favia,sp.,suspension,4
428,Nerita,plicata,browser,18
429,Barbatia,foliata,suspension,15
430,Modiolus,areolatus,suspension,15
431,Chlamys,diffenbachi,suspension,15
432,Ostrea,lutaria,suspension,15
433,Haliotis,sp.,herbivore,18
434,Cellana,sp.,Deposit,18
461,Ensis,arcuatus,suspension,15
436,Busycon,sp.,Carnivore,18
437,Busycon,carica,Carnivore,18
438,Mactra,obesa,suspension,15
439,Anadara,sp.,suspension,15
440,Neptunea,sp.,Carnivore,18
441,Conuber,incei,Carnivore,18
442,Patella,granularis,Deposit,18
443,Patella,granatina,unknown,18
444,Tapes,corrugata,suspension,15
445,Choromytilus,meridionalis,suspension,15
446,Patella,argenvillei,browser,18
447,Montastraea,faveolata,suspension,4
464,Mimachlamys,scabricostata,suspension,15
465,Barbatia,parvivillosa,suspension,15
466,Pinctada,albina,suspension,15
467,Barbatia,amygdalumtostum,suspension,15
468,Placamen,tiara,suspension,15
469,Mimachlamys,punctata,suspension,15
470,Placuna,ephippium,suspension,15
471,,sp.,migratory,10
472,Callista,brevisiphonata,NULL,15
474,Nuculana,pernula,Deposit,15
475,Leionucula,bellotii,unknown,15
478,Mactra,solida,unknown,15
479,Acropora,sp.,suspension,4
480,Theoduxus,fluviatilis,unknown,18
481,Protothaca,asperrima,suspension,15
482,Donax,obesulus,suspension,15
483,Busycon,sinistrum,Carnivore,18
484,Strombus,alatus,Deposit,18
